Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
Młodzieżowy Dom Kultury W Bartoszycach,Warmińsko-Mazurskie,Bartoszycki,Bartoszyce,Bartoszyce,Ul. Boh. Warszawy,6,,11-200,Bartoszyce,897623805,www.mdk.bartoszyce.info,mdkbart@wp.pl
Młodzieżowy Dom Kultury W Sanoku,Podkarpackie,Sanocki,Sanok,Sanok,Ul. Plac Św. Michała,6,,38-500,Sanok,134631905,www.mdk.sanok.pl,mdksanok@gmail.com
Miejsko - Gminny Ośrodek Kultury W Oleszycach,Podkarpackie,Lubaczowski,Oleszyce,Oleszyce,Ul. Rynek,6,,37-630,Oleszyce,505808362,www.oleszyce.pl,mgck@wp.pl
Gminny Ośrodek Kultury W Mietkowie,Dolnośląskie,Wrocławski,Mietków,Mietków,Ul. Spółdzielcza,6,,55-081,Mietków,713168254,,miro.s72@wp.pl
Miejski Ośrodek Kultury W Wojkowicach,Śląskie,Będziński,Wojkowice,Wojkowice,Ul. Jaworznik,6,,42-580,Wojkowice,327696482,www.mokwojkowice.pl,mok@mokwojkowice.pl
Miejski Ośrodek Kultury W Nowym Wiśniczu,Małopolskie,Bocheński,Nowy Wiśnicz,Nowy Wiśnicz,Rynek,6,,32-720,Nowy Wiśnicz,146128704,www.mok.nw.com.pl,mok@nowywisnicz.pl
Jarosławski Ośrodek Kultury I Sztuki,Podkarpackie,Jarosławski,Jarosław,Jarosław,Plac Mickiewicza,6,,37-500,Jarosław,166214434,www.mok-jar.pl,mokj@op.pl
Nałęczowski Ośrodek Kultury W Nałęczowie,Lubelskie,Puławski,Nałęczów,Nałęczów,Ul. Lipowa,6,,24-150,Nałęczów,815014069,www.naleczow.pl/nok,nok@naleczow.pl
Miejski Ośrodek Kultury W Siedlcach,Mazowieckie,M. Siedlce,M. Siedlce,Siedlce,Ul. Kazimierza Pułaskiego,6,,08-110,Siedlce,256322750,,pegaz@mok.siedlce.pl
Centrum Kultury Dwór Artusa,Kujawsko-Pomorskie,M. Toruń,M. Toruń,Toruń,Rynek Staromiejski,6,,87-100,Toruń,566554939,www.artus.torun.pl/,sekretariat@artus.torun.pl
Kujawsko-Pomorskie Centrum Kultury W Bydgoszczy,Kujawsko-Pomorskie,M. Bydgoszcz,M. Bydgoszcz,Bydgoszcz,Ul. Pl. Kościeleckich,6,,85-033,Bydgoszcz,525851501,www.kpck.pl/kontakt/,sekretariat@kpck.pl
Miejsko-Gminny Ośrodek Kultury W Kaliszu Pomorskim,Zachodniopomorskie,Drawski,Kalisz Pomorski,Kalisz Pomorski,Ul. Dworcowa,6,,78-540,Kalisz Pomorski,943616322,www.kultura-kaliszpom.com,sekretariat@mgokkp.pl
Wołowski Ośrodek Kultury,Dolnośląskie,Wołowski,Wołów,Wołów,Ul. Generała Władysława Sikorskiego,6,,56-100,Wołów,713892643,www.wok-wolow.pl,sekretariat@wok-wolow.pl
Staszowski Ośrodek Kultury,Świętokrzyskie,Staszowski,Staszów,Staszów,Ul. Parkowa,6,,28-200,Staszów,158644112,www.sok.info.pl,sok@sok.info.pl
Wielickie Centrum Kultury,Małopolskie,Wielicki,Wieliczka,Wieliczka,Ul. Rynek Górny,6,,32-020,Wieliczka,122783200,www.ckit.wieliczka.eu,wck@wieliczka.eu
Złocieniecki Ośrodek Kultury,Zachodniopomorskie,Drawski,Złocieniec,Złocieniec,Ul. Połczyńska,6,,78-520,Złocieniec,943671455,,zokzloc@pro.onet.pl
Centrum Kultury W Troszynie,Mazowieckie,Ostrołęcki,Troszyn,Troszyn,Ul. Szkolna,6,,07-405,Troszyn,297671157,,
Miejski Dom Kultury W Łaziskach Górnych - Filia Łaziska Dolne,Śląskie,Mikołowski,Łaziska Górne,Łaziska Górne,Ul. Szkolna,6,,43-174,Łaziska Górne,,,
Miejsko - Gminny Ośrodek Kultury,Dolnośląskie,Kamiennogórski,Lubawka,Lubawka,Ul. Przyjaciół Żołnierza,6 A,,58-420,Lubawka,757411362,www.kierunekkultura.pl/,biuro@kultura.lubawka.eu
Miejski Dom Kultury W Rawie Mazowieckiej,Łódzkie,Rawski,Rawa Mazowiecka,Rawa Mazowiecka,Ul. Krakowska,6 C,,96-200,Rawa Mazowiecka,468154713,www.mdkrawa.pl,mdkrawa@interia.pl
Mysłowicki Ośrodek Kultury,Śląskie,M. Mysłowice,M. Mysłowice,Mysłowice,Ul. Adama Mickiewicza,6-8,,41-400,Mysłowice,,,
Gminne Centrum Kultury I Sportu W Konopiskach,Śląskie,Częstochowski,Konopiska,Konopiska,Ul. Sportowa,60,,42-274,Konopiska,343441933,,gckis@konopiska.pl
Miejsko-Gminny Ośrodek Kultury W Miastku,Pomorskie,Bytowski,Miastko,Miastko,Ul. Kazimierza Wielkiego,3,,77-200,Miastko,598572909,www.mgok.miastko.pl,mgok@miastko.pl
Gminny Ośrodek Kultury W Rachaniach,Lubelskie,Tomaszowski,Rachanie,Rachanie,Ul. Partyzantów,60,,22-640,Rachanie,846632242,,gokrachanie@op.pl
Jeleniogórskie Centrum Kultury,Dolnośląskie,M. Jelenia Góra,M. Jelenia Góra,Jelenia Góra,Ul. 1 Maja,60,,58-500,Jelenia Góra,756423880,www.jck.pl,jck@jck.pl
Miejskie Centrum Kultury W Czarnkowie,Wielkopolskie,Czarnkowsko-Trzcianecki,Czarnków,Czarnków,Ul. Kościuszki,60,,64-700,Czarnków,672552651,,mck@czarnkow.pl
Miejski Ośrodek Kultury - Filiaświetlica Dzielnicowa Grzybowice,Śląskie,M. Zabrze,M. Zabrze,Zabrze,Ul. Ks. Jerzego Badestinusa,60,,41-800,Zabrze,322738258,,
Gminny Ośrodek Kultury W Trawnikach,Lubelskie,Świdnicki,Trawniki,Trawniki,,604,,21-044,Trawniki,815856038,www.goktrawniki.pl,sekretariat@goktrawniki.pl
Centrum Kultury I Biblioteka W Bardzie,Dolnośląskie,Ząbkowicki,Bardo,Bardo,Ul. Główna,61,,57-256,Bardo,748170827,,centrum@bardo.pl
Gminne Centrum Kultury W Polance Wielkiej,Małopolskie,Oświęcimski,Polanka Wielka,Polanka Wielka,Ul. Długa,61,,32-607,Polanka Wielka,338488459,www.gckpolanka,gck@gckpolanka.pl
Gminny Ośrodek Kultury,Śląskie,Pszczyński,Goczałkowice-Zdrój,Goczałkowice-Zdrój,Ul. Uzdrowiskowa,61,,43-230,Goczałkowice-Zdrój,322107838,,gok@goczalkowicezdroj.pl
Gminne Centrum Kultury I Sportu W Bobrownikach Filia W Sączowie,Śląskie,Będziński,Bobrowniki,Sączów,Ul. Wolności,61 A,,42-595,Bobrowniki,,,
Kliszczackie Centrum Kultury,Małopolskie,Myślenicki,Tokarnia,Tokarnia,,619,,32-436,Tokarnia,122747005,www.domkultury.manifo.com,gokis-tokarnia@wp.pl
Miejsko-Gminny Ośrodek Kultury W Łagowie,Świętokrzyskie,Kielecki,Łagów,Łagów,Ul. Rynek,62,,26-025,Łagów,413437054,,akedziora@lagowgmina.pl
Gminny Ośrodek Kultury W Jedwabnie,Warmińsko-Mazurskie,Szczycieński,Jedwabno,Jedwabno,Ul. 1 Maja,63,,12-122,Jedwabno,896213042,,gok@jedwabno.pl
Miejsko-Gminne Centrum Kultury W Izbicy Kujawskiej,Kujawsko-Pomorskie,Włocławski,Izbica Kujawska,Izbica Kujawska,Ul. Narutowicza,63,,87-865,Izbica Kujawska,542865193,,mgck-izbicakuj@wp.pl
Gminne Centrum Kultury I Bibliotek W Skrzyszowie,Małopolskie,Tarnowski,Skrzyszów,Skrzyszów,,638,,33-156,Skrzyszów,146745508,www.gckib-skrzyszow.pl/kontakt/,kontakt@gckib-skrzyszow.pl
Miejski Dom Kultury W Działdowie,Warmińsko-Mazurskie,Działdowski,Działdowo,Działdowo,Ul. Wolności,64,,13-200,Działdowo,236972192,,biuro@mdkdzialdowo.pl
Gminny Ośrodek Kultury W Besku,Podkarpackie,Sanocki,Besko,Besko,Ul. Starowiejska,64,,38-524,Besko,134601292,,gok@besko.pl
Centrum Kultury I Biblioteki W Kornowacu,Śląskie,Raciborski,Kornowac,Kornowac,Ul. Starowiejska,64,,44-285,Kornowac,324301209,,gok@kornowac.pl
Gminny Ośrodek Kultury,Lubelskie,Janowski,Potok Wielki,Potok Wielki,,64,,23-313,Potok Wielki,158740225,www.gokpotokwielki.pl/,gokpotok@interia.pl
Gminny Ośrodek Kultury,Łódzkie,Łódzki Wschodni,Andrespol,Wiśniowa Góra,Ul. Tuszyńska,64,,95-020,Andrespol,422132296,,gokwisniowagora@wp.pl
Samorządowe Centrum Kultury W Dzikowcu,Podkarpackie,Kolbuszowski,Dzikowiec,Dzikowiec,Ul. Dworska,64,,36-122,Dzikowiec,172273725,,sckdzikowiec@op.pl
Powiatowy Młodzieżowy Dom Kultury,Pomorskie,Bytowski,Miastko,Miastko,Ul. Młodzieżowa,5,,77-200,Miastko,598573206,www.mdk.miastko.com.pl,sekretariat@mdk.miastko.com.pl
Miejski Klub Im. Jana Kiepury,Śląskie,M. Sosnowiec,M. Sosnowiec,Sosnowiec,Ul. Będzińska,65,,41-205,Sosnowiec,,www.kiepura.pl,klub@kiepura.pl
Samorządowa Agencja Promocji I Kultury,Zachodniopomorskie,Szczecinecki,Szczecinek,Szczecinek,Ul. Kardynała Stefana Wyszyńskiego,65,,78-400,Szczecinek,947128302,www.sapik.pl,sapik@sapik.pl
Miejskie Centrum Kultury W Leżajsku,Podkarpackie,Leżajski,Leżajsk,Leżajsk,Ul. Adama Mickiewicza,65,,37-300,Leżajsk,172421134,www.mck.lezajsk.pl,sekretariat@mcklezajsk.pl
Gminny Ośrodek Kultury W Sosnówce,Lubelskie,Bialski,Sosnówka,Sosnówka,,65,,21-518,Sosnówka,833793057,,sekretariat@sosnowka.pl
Wiejski Dom Kultury W Syryni,Śląskie,Wodzisławski,Lubomia,Syrynia,Ul. 3 Maja,65,,44-361,Syrynia,324517221,www.goksirlubomia.pl/,
"Gminne Centrum Kultury, Sportu I Turystyki W Radecznicy",Lubelskie,Zamojski,Radecznica,Radecznica,Ul. B. Prusa,65A,,22-463,Radecznica,846826855,,gck@gminaradecznica.pl
Biblioteka Centrum Kultury W Piekoszowie,Świętokrzyskie,Kielecki,Piekoszów,Piekoszów,Ul. Częstochowska,66,,26-065,Piekoszów,413061081,www.bckpiekoszow.pl,bck@bckpiekoszow.pl
Miejski Dom Kultury W Kolbuszowej,Podkarpackie,Kolbuszowski,Kolbuszowa,Kolbuszowa,Ul. Obrońców Pokoju,66,,36-100,Kolbuszowa,172271563,www.mdkkolbuszowa.pl/kontakt,kultura@mdkkolbuszowa.pl
"Ośrodek Kultury Plastycznej ""Wieża Ciśnień"" Im. Bogdana Jareckiego W Kaliszu",Wielkopolskie,M. Kalisz,M. Kalisz,Kalisz,Ul. Górnośląska,66A,,62-800,Kalisz,627664340,www.wiezacisnien.kalisz.pl,galeria@wiezacisnien.kalisz.pl
Gminny Ośrodek Kultury,Śląskie,Pszczyński,Pawłowice,Pawłowice,Ul. Zjednoczenia,67,,43-250,Pawłowice,324722570,www.kultura.pawlowice.pl,gokpawlowice@hoga.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji",Podlaskie,Hajnowski,Dubicze Cerkiewne,Dubicze Cerkiewne,Ul. Główna,67,,17-204,Dubicze Cerkiewne,856827999,www.dubicze-cerkiewne.pl,goksir@dubicze-cerkiewne.pl
Miejski Ośrodek Kultury,Zachodniopomorskie,M. Szczecin,M. Szczecin,Szczecin,Ul. Goleniowska,67,,70-847,Szczecin,914691639,www.mok.szczecin.pl,sekretariat@mok.szczecin.pl
Trzebiatowski Ośrodek Kultury,Zachodniopomorskie,Gryficki,Trzebiatów,Trzebiatów,Ul. Wojska Polskiego,67,,72-320,Trzebiatów,913872614,www.kultura.trzebiatow.pl,tok@trzebiatow.pl
Gminny Ośrodek Kultury I Sportu W Wicku,Pomorskie,Lęborski,Wicko,Wicko,Ul. Parkowa,2,,84-352,Wicko,598611117,,gokis@wicko.pl
Gminne Centrum Kultury Czytelnictwa I Sportu W Rzezawie,Małopolskie,Bocheński,Rzezawa,Rzezawa,Ul. Wiśniowa,68,,32-765,Rzezawa,146859881,,kultura@rzezawa.pl
"Gminny Ośrodek Kultury, Promocji, Informacji Turystycznej I Biblioteka Publiczna W Istebnej",Śląskie,Cieszyński,Istebna,Istebna,,68,,43-470,Istebna,338556208,,kultura@ug.istebna.pl
Dom Kultury - Pomnik Czynu Bojowego Kleeberczyków W Woli Gułowskiej,Lubelskie,Łukowski,Adamów,Wola Gułowska,,68,,21-481,Wola Gułowska,257550215,www.kleeberczycy.pl,muzeum@kleeberczycy.pl
Centrum Kultury I Biblioteka Gminy Złotoryja,Dolnośląskie,Złotoryjski,Złotoryja,Jerzmanice-Zdrój,,68,,59-500,Złotoryja,768781681,,
Centrum Kultury Gminy Gołcza W Gołczy,Małopolskie,Miechowski,Gołcza,Gołcza,,69,,32-075,Gołcza,600468702,www.ckgolcza.pl,biuro@ckgolcza.pl
Samorządowy Ośrodek Kultury I Rekreacji Gminy Wadowice Górne,Podkarpackie,Mielecki,Wadowice Górne,Wadowice Dolne,,69,,39-308,Wadowice Górne,146668200,,instruktorzy@kultura.wadowicegorne.pl
Centrum Kultury I Bibliotek Gminy Ostrów,Podkarpackie,Ropczycko-Sędziszowski,Ostrów,Kamionka,,69,,39-122,Kamionka,172233134,,sekretariat.kamionka@ostrow.gmina.pl
Gminna Placówka Kultury,Podkarpackie,Przemyski,Stubno,Stubno,,69A,,37-723,Stubno,167354013,,gpk.stubno@wp.pl
Dom Kultury W Koniecpolu,Śląskie,Częstochowski,Koniecpol,Koniecpol,Ul. Chrząstowska,6A,,42-230,Koniecpol,343551881,,dk@koniecpol.pl
Gminne Centrum Kultury I Promocji W Czarnej,Podkarpackie,Dębicki,Czarna,Czarna,Ul. Dworcowa,6A,,39-215,Czarna,146761827,,gckip@op.pl
"Gminne Centrum Kultury, Promocji I Turystyki W Szaflarach",Małopolskie,Nowotarski,Szaflary,Szaflary,Ul. Szkolna,6A,,34-424,Szaflary,185215523,www.gckpit.szaflary.pl/,gckpit@szaflary.pl
Gminny Dom Kultury W Dąbiu,Lubuskie,Krośnieński,Dąbie,Dąbie,Ul. Szeroka,6A,,66-615,Dąbie,,,gdk@dabie.pl
Gminny Ośrodek Kultury W Suchożebrach,Mazowieckie,Siedlecki,Suchożebry,Suchożebry,Ul. Siedlecka,6A,,08-125,Suchożebry,501878999,www.gok.suchozebry.pl,gok@suchozebry.pl
Młodzieżowy Dom Kultury Im. Małego Księcia W Ozorkowie,Łódzkie,Zgierski,Ozorków,Ozorków,Ul. Listopadowa,6B,,95-035,Ozorków,427189353,,mdkozorkow@poczta.onet.pl
Centrum Kultury Im. Kawalerów Orderu Uśmiechu W Głuchołazach,Opolskie,Nyski,Głuchołazy,Głuchołazy,Ul. Bohaterów Warszawy,7,,48-340,Głuchołazy,774391698,,biuro@ck-glucholazy.pl
Dom Kultury W Baniach,Zachodniopomorskie,Gryfiński,Banie,Banie,Ul. Skośna,7,,74-110,Banie,914166366,,biuro@dkbanie.pl
Gminny Ośrodek Kultury W Nowym Targu Z Siedzibą W Łopusznej,Małopolskie,Nowotarski,Nowy Targ,Łopuszna,Ul. Gorczańska,7,,34-432,Łopuszna,182653969,www.goklopuszna.pl,biuro@goklopuszna.pl
Krapkowicki Dom Kultury,Opolskie,Krapkowicki,Krapkowice,Krapkowice,Ul. Prudnicka,7,,47-300,Krapkowice,774460312,www.kdk.krapkowice.pl/,biuro@kdkkrapkowice.pl
Kobierzycki Ośrodek Kultury,Dolnośląskie,Wrocławski,Kobierzyce,Kobierzyce,Ul. Ludowa,7,,55-040,Kobierzyce,713111200,www.kultura-kobierzyce.pl,biuro@kultura-kobierzyce.pl
Nyski Dom Kultury Im. Wandy Pawlik,Opolskie,Nyski,Nysa,Nysa,Ul. Wałowa,7,,48-300,Nysa,774333337,www.ndk.nysa.pl,biuro@ndk.nysa.pl
"Dom Kultury ""Słowianin""",Zachodniopomorskie,M. Szczecin,M. Szczecin,Szczecin,Ul. Józefa Korzeniowskiego,7,,70-211,Szczecin,914345655,www.slowianin.org,biuro@slowianin.org
Tarnogórskie Centrum Kultury,Śląskie,Tarnogórski,Tarnowskie Góry,Tarnowskie Góry,Ul. Jana Iii Sobieskiego,7,,42-600,Tarnowskie Góry,322852734,www.tck.net.pl,biuro@tck.net.pl
Chełmżyński Dom Kultury,Kujawsko-Pomorskie,Toruński,Chełmża,Chełmża,Ul. Bydgoska,7,,87-140,Chełmża,566756115,,chok@pimbp.pl
Miejsko-Gminny Ośrodek Kultury W Stepnicy,Zachodniopomorskie,Goleniowski,Stepnica,Stepnica,Ul. Portowa,7,,72-112,Stepnica,914188628,www.mgokstepnica.pl,dyrektor@mgokstepnica.pl
Gminny Ośrodek Kultury W Gierzwałdzie,Warmińsko-Mazurskie,Ostródzki,Grunwald,Gierzwałd,,7,,14-107,Gierzwałd,896472059,,gci@grunwald.info.pl
Gminne Centrum Kultury W Inowłodzu,Łódzkie,Tomaszowski,Inowłódz,Inowłódz,Ul. Zamkowa,7,,97-215,Inowłódz,447101854,,gck@inowlodz.pl
Gminny Ośrodek Kultury W Gościeradowie,Lubelskie,Kraśnicki,Gościeradów,Gościeradów-Folwark,Osiedle Pom,7,,23-275,Gościeradów Ukazowy,158381168,,gok.goscieradow@interia.pl
Gminny Ośrodek Kultury W Sawinie,Lubelskie,Chełmski,Sawin,Sawin,Ul. Chutecka,7,,22-107,Sawin,825673069,,gok.sawin@wp.pl
Gminny Ośrodek Kultury W Tychowie,Zachodniopomorskie,Białogardzki,Tychowo,Tychowo,Ul. Wolności,7,,78-220,Tychowo,943115676,,gok.tychowo@wp.pl
Gminne Centrum Kultury W Cewicach,Pomorskie,Lęborski,Cewice,Cewice,Ul. Juliana Węgrzynowicza,16,,84-312,Cewice,598611490,www.cewice.pl,gck.cewice@wp.pl
Gminne Centrum Kultury W Kargowej,Lubuskie,Zielonogórski,Kargowa,Kargowa,Ul. Browarna,7,,66-120,Kargowa,683525041,,gok@kargowa.pl
Gminny Ośrodek Kultury W Kijewie Królewskim,Kujawsko-Pomorskie,Chełmiński,Kijewo Królewskie,Kijewo Królewskie,Ul. Chełmińska,7,D,86-253,Kijewo Królewskie,510060851,,gok@kijewo.pl
Gminny Ośrodek Kultury W Krynkach,Podlaskie,Sokólski,Krynki,Krynki,Ul. Grodzieńska,7,,16-120,Krynki,857228121,,gok@krynki.pl
Gminny Ośrodek Kultury W Lipnie,Wielkopolskie,Leszczyński,Lipno,Lipno,Ul. Powstańców Wielkopolskich,7,,64-111,Lipno,655340257,,gok@lipno.pl
Młodzieżowy Dom Kultury,Pomorskie,Lęborski,Lębork,Lębork,Ul. Różyckiego,2,,84-300,Lębork,598621645,www.mdklebork.pl,mdklebork@wp.eu
Gminny Ośrodek Kultury W Rędzinach,Śląskie,Częstochowski,Rędziny,Rędziny,Ul. Adama Mickiewicza,7,,42-242,Rędziny,343279998,www.gokredziny.pl,gok@redziny.pl
Gminny Dom Kultury W Skrwilnie,Kujawsko-Pomorskie,Rypiński,Skrwilno,Skrwilno,Ul. Rypińska,7,,87-510,Skrwilno,881470254,,gok@skrwilno.pl
Gminny Ośrodek Kultury,Opolskie,Opolski,Tarnów Opolski,Tarnów Opolski,Ul. Osiedle Zakładowe,7,,46-050,Tarnów Opolski,774644781,www.gok.tarnowopolski.pl,gok@tarnowopolski.pl
Gminny Ośrodek Kultury W Borkowicach,Mazowieckie,Przysuski,Borkowice,Borkowice,Ul. Ks. Jana Wiśniewskiego,7,,26-422,Borkowice,486757106,www.gok.cba.pl,gokborkowice@onet.pl
Gminny Ośrodek Kultury I Sportu W Prusicach,Dolnośląskie,Trzebnicki,Prusice,Prusice,Ul. Jana Pawła Ii,7,,55-110,Prusice,713126310,,gokis@prusice.pl
Gminny Ośrodek Kultury. Biblioteka Publiczna W Kamienniku,Opolskie,Nyski,Kamiennik,Kamiennik,Ul. Słoneczna,7,,48-388,Kamiennik,774312167,,gokkamiennik@wp.pl
Gminny Ośrodek Kultury W Nowej Wsi Wielkiej,Kujawsko-Pomorskie,Bydgoski,Nowa Wieś Wielka,Nowa Wieś Wielka,Aleja Pokoju,7,,86-060,Nowa Wieś Wielka,525832666,,goknww@wp.pl
Gminny Ośrodek Kultury W Sędziejowicach,Łódzkie,Łaski,Sędziejowice,Sędziejowice,Ul. Wieluńska,7,,98-160,Sędziejowice,436771722,www.goksedziejowice.pl,goksedziejowice@op.pl
Gminny Ośrodek Kultury I Biblioteki,Lubuskie,Żagański,Wymiarki,Wymiarki,Ul. Księcia Witolda,7,,68-131,Wymiarki,683604177,www.gokib.pl,info@gokib.pl
Gminny Ośrodek Kultury W Rzgowie,Łódzkie,Łódzki Wschodni,Rzgów,Rzgów,Ul. Szkolna,7,,95-030,Rzgów,422141312,,kontakt@gok.rzgow.pl
Hrubieszowski Dom Kultury W Hrubieszowie,Lubelskie,Hrubieszowski,Hrubieszów,Hrubieszów,Ul. 3 Maja,7,,22-500,Hrubieszów,846962615,www.hdk-hrubieszow.pl,kontakt@hdk-hrubieszow.pl
"Gminny Ośrodek Kultury, Sportu I Turystyki W Wierzchowie",Zachodniopomorskie,Drawski,Wierzchowo,Wierzchowo,Ul. Parkowa,7,,78-530,Wierzchowo,943433451,,kultura.goksit@wp.pl
"Lęborskie Centrum Kultury ""Fregata""",Pomorskie,Lęborski,Lębork,Lębork,Ul. Gdańska,12-13,,84-300,Lębork,598622530,www.lck-fregata.pl/kontakt/,lckfregata@wp.pl
Gminny Ośrodek Kultury W Lubichowie,Pomorskie,Starogardzki,Lubichowo,Lubichowo,Ul. Dworcowa,24,,83-240,Lubichowo,605430751,,mariolas345@wp.pl
"Miejskie Centrum Kultury, Czytelnictwa I Edukacji W Grybowie",Małopolskie,Nowosądecki,Grybów,Grybów,Ul. Kościuszki,7,,33-330,Grybów,184450438,,mckcie@grybow.pl
"Miejski Ośrodek Kultury, Sportu I Rekreacji W Chojnowie",Dolnośląskie,Legnicki,Chojnów,Chojnów,Ul. Stanisława Małachowskiego,7,,59-225,Chojnów,768188621,,mdk_chojnow@wp.pl
Miejski Dom Kultury W Wołominie,Mazowieckie,Wołomiński,Wołomin,Wołomin,Ul. Mariańska,7,,05-200,Wołomin,227874513,www.mdkwolomin.pl,mdk@mdkwolomin.pl
Młodzieżowy Dom Kultury Im. Władysława Broniewskiego,Mazowieckie,M. St. Warszawa,Śródmieście,Warszawa,Ul. Łazienkowska,7,,00-449,Warszawa,226293206,www.mdk.waw.pl,mdkbron@eduwarszawa.pl
Miejsko-Gminny Ośrodek Kultury Sportu I Rekreacji,Lubuskie,Zielonogórski,Nowogród Bobrzański,Nowogród Bobrzański,Ul. Pocztowa,7,,66-011,Nowogród Bobrzański,683276586,www.mgoksir.pl,mgoksir@onet.pl
Miejsko-Gminny Ośrodek Kultury Sportu I Rekreacji W Zdzieszowicach,Opolskie,Krapkowicki,Zdzieszowice,Zdzieszowice,Ul. Powstańców Śląskich,7,,47-330,Zdzieszowice,774842392,,mgoksir@zdzieszowice.pl
Miejsko-Gminny Ośrodek Kultury,Świętokrzyskie,Starachowicki,Wąchock,Wąchock,Ul. Kościelna,7,,27-215,Wąchock,412715033,www.mgok.wachock.pl/,mgokwachock@op.pl
Ośrodek Kultury I Sportu W Gaszowicach,Śląskie,Rybnicki,Gaszowice,Gaszowice,Ul. Rydułtowska,7,,44-293,Gaszowice,324305485,,okis@gaszowice.pl
Ośrodek Upowszechniania Kultury W Chorzelach,Mazowieckie,Przasnyski,Chorzele,Chorzele,Ul. Ogrodowa,7,,06-330,Chorzele,297515189,,oukchorzele@wp.pl
Gminne Centrum Kultury I Biblioteka W Przyrowie,Śląskie,Częstochowski,Przyrów,Przyrów,Ul. Częstochowska,7,,42-248,Przyrów,343554062,,przyrowgok@op.pl
Rydzyński Ośrodek Kultury W Rydzynie,Wielkopolskie,Leszczyński,Rydzyna,Rydzyna,Rynek,7,,64-130,Rydzyna,655380583,www.rok.rydzyna.pl,rok@rydzyna.pl
Żarski Dom Kultury W Żarach,Lubuskie,Żarski,Żary,Żary,Ul. Wrocławska,7,,68-200,Żary,683742413,www.dkzary.pl,sekretariat@dkzary.pl
Samorządowe Centrum Kultury W Mielcu,Podkarpackie,Mielecki,Mielec,Mielec,Aleja Niepodległości,7,,39-300,Mielec,175862373,,sekretariat@kultura.mielec.pl
Mysłowicki Ośrodek Kultury,Śląskie,M. Mysłowice,M. Mysłowice,Mysłowice,Ul. Grunwaldzka,7,,41-400,Mysłowice,322226670,www.m-ok.pl,sekretariat@m-ok.pl
Nowogardzki Dom Kultury,Zachodniopomorskie,Goleniowski,Nowogard,Nowogard,Ul. Plac Wolności,7,,72-200,Nowogard,913926283,www.ndk.pl,sekretariat@ndk.pl
Odolanowski Dom Kultury,Wielkopolskie,Ostrowski,Odolanów,Odolanów,Ul. Bartosza,7,,63-430,Odolanów,627331308,,sekretariat@odolanow.pl
Powiatowy Młodzieżowy Dom Kultury W Lubartowie,Lubelskie,Lubartowski,Lubartów,Lubartów,Ul. Słowackiego,7,,21-100,Lubartów,818553786,www.pmdk.lubartow.pl,sekretariat@pmdk.lubartow.pl
Samorządowe Centrum Kultury I Biblioteka W Morawicy,Świętokrzyskie,Kielecki,Morawica,Morawica,Ul. Spacerowa,7,,26-026,Morawica,413114692,www.sck.morawica.pl,sekretariat@sckibmorawica.pl
Gminny Ośrodek Kultury W Wieprzu,Małopolskie,Wadowicki,Wieprz,Wieprz,Ul. Centralna,7,,34-122,Wieprz,338755216,,sekretariat@wieprz.pl
"Wyszkowski Ośrodek Kultury ""Hutnik""",Mazowieckie,Wyszkowski,Wyszków,Wyszków,Ul. Prosta,7,,07-200,Wyszków,297424448,www.wok-hutnik.pl,sekretariat@wok-hutnik.pl
Żagański Pałac Kultury,Lubuskie,Żagański,Żagań,Żagań,Ul. Jana Pawła Ii,7,,68-100,Żagań,684776464,www.zpk.zagan.pl,sekretariat@zpk.zagan.pl
Sidrzański Ośrodek Kultury,Podlaskie,Sokólski,Sidra,Sidra,Ul. Rynek,7,,16-124,Sidra,857220990,,sok@gmina-sidra.pl
Strzelecki Ośrodek Kultury,Opolskie,Strzelecki,Strzelce Opolskie,Strzelce Opolskie,Plac Stefana Żeromskiego,7,,47-100,Strzelce Opolskie,778873500,www.sok-kultura.eu,sok@sok-kultura.eu
Strzelecki Ośrodek Kultury,Lubuskie,Strzelecko-Drezdenecki,Strzelce Krajeńskie,Strzelce Krajeńskie,Ul. Wojska Polskiego,7,,66-500,Strzelce Krajeńskie,957632439,,sok@strzelce.pl
Wojewódzki Dom Kultury W Rzeszowie,Podkarpackie,M. Rzeszów,M. Rzeszów,Rzeszów,Ul. Stefana Okrzei,7,,35-002,Rzeszów,178532535,www.wdk.kulturapodkarpacka.pl,wdk@kulturapodkarpacka.pl
Gminny Ośrodek Kultury W Kuczborku-Osadzie,Mazowieckie,Żuromiński,Kuczbork-Osada,Kuczbork-Osada,Ul. Adama Mickiewicza,7,,09-310,Kuczbork-Osada,691270337,www.kuczbork.naszgok.pl,
Centrum Kultury Ogrodowa,Kujawsko-Pomorskie,Włocławski,Chodecz,Chodecz,Ul. Ogrodowa,7,,87-860,Chodecz,,,
Gminny Ośrodek Kultury W Gierałtowicach,Śląskie,Gliwicki,Gierałtowice,Gierałtowice,Ul. Korfantego,7 B,,44-186,Gierałtowice,323011511,,sekretariat@gok.gieraltowice.pl
